building_id,meter_reading,anomaly,time,month,day,weekend
1,72.41,0,0,3,5,0
1,70.14,0,1,3,5,0
1,67.75,0,2,3,5,0
1,119.03,0,3,3,5,0
1,96.36,0,4,3,5,0
1,106.27,0,5,3,5,0
1,58.26,0,6,3,5,0
1,89.38,0,7,3,5,0
1,102.8,0,8,3,5,0
1,118.94,0,9,3,5,0
1,92.33,0,10,3,5,0
1,122.03,0,11,3,5,0
1,70.03,0,12,3,5,0
1,79.1,0,13,3,5,0
1,85.08,0,14,3,5,0
1,72.11,0,15,3,5,0
1,127.79,0,16,3,5,0
1,103.82,0,17,3,5,0
1,96.07,0,18,3,5,0
1,104.27,0,19,3,5,0
1,117.0,0,20,3,5,0
1,128.55,0,21,3,5,0
1,119.85,0,22,3,5,0
1,103.58,0,23,3,5,0
1,127.44,0,0,3,6,1
1,123.11,0,1,3,6,1
1,125.22,0,2,3,6,1
1,113.95,0,3,3,6,1
1,133.7,0,4,3,6,1
1,130.68,0,5,3,6,1
1,164.1,0,6,3,6,1
1,105.47,0,7,3,6,1
1,120.7,0,8,3,6,1
1,141.18,0,9,3,6,1
1,158.74,0,10,3,6,1
1,109.29,0,11,3,6,1
1,150.47,0,12,3,6,1
1,131.8,0,13,3,6,1
1,130.9,0,14,3,6,1
1,142.41,0,15,3,6,1
1,101.35,0,16,3,6,1
1,92.0,0,17,3,6,1
1,52.79,0,18,3,6,1
1,137.31,0,19,3,6,1
1,116.2,0,20,3,6,1
1,144.79,0,21,3,6,1
1,121.79,0,22,3,6,1
1,112.34,0,23,3,6,1
1,113.46,0,0,3,7,1
1,105.15,0,1,3,7,1
1,111.69,0,2,3,7,1
1,135.65,0,3,3,7,1
1,111.24,0,4,3,7,1
1,120.1,0,5,3,7,1
1,52.01,0,6,3,7,1
1,135.81,0,7,3,7,1
1,111.47,0,8,3,7,1
1,84.04,0,9,3,7,1
1,154.78,0,10,3,7,1
1,146.24,0,11,3,7,1
1,116.39,0,12,3,7,1
1,158.33,0,13,3,7,1
1,127.16,0,14,3,7,1
1,142.18,0,15,3,7,1
1,137.58,0,16,3,7,1
1,99.61,0,17,3,7,1
1,137.7,0,18,3,7,1
1,123.93,0,19,3,7,1
1,205.92,1,20,3,7,1
1,107.09,0,21,3,7,1
1,135.65,0,22,3,7,1
1,85.39,0,23,3,7,1
1,105.98,0,0,3,1,0
1,98.46,0,1,3,1,0
1,91.03,0,2,3,1,0
1,97.86,0,3,3,1,0
1,79.65,0,4,3,1,0
1,111.08,0,5,3,1,0
1,117.77,0,6,3,1,0
1,96.9,0,7,3,1,0
1,59.81,0,8,3,1,0
1,116.72,0,9,3,1,0
1,75.59,0,10,3,1,0
1,111.75,0,11,3,1,0
1,107.47,0,12,3,1,0
1,90.19,0,13,3,1,0
1,55.58,0,14,3,1,0
1,90.56,0,15,3,1,0
1,87.14,0,16,3,1,0
1,137.14,0,17,3,1,0
1,105.6,0,18,3,1,0
1,97.65,0,19,3,1,0
1,93.36,0,20,3,1,0
1,147.74,0,21,3,1,0
1,105.73,0,22,3,1,0
1,82.07,0,23,3,1,0
1,110.76,0,0,3,2,0
1,132.54,0,1,3,2,0
1,106.98,0,2,3,2,0
1,79.39,0,3,3,2,0
1,126.88,0,4,3,2,0
1,96.44,0,5,3,2,0
1,100.26,0,6,3,2,0
1,106.18,0,7,3,2,0
1,130.14,0,8,3,2,0
1,74.43,0,9,3,2,0
1,100.66,0,10,3,2,0
1,114.21,0,11,3,2,0
1,105.15,0,12,3,2,0
1,126.6,0,13,3,2,0
1,136.47,0,14,3,2,0
1,97.12,0,15,3,2,0
1,78.22,0,16,3,2,0
1,89.68,0,17,3,2,0
1,86.0,0,18,3,2,0
1,80.61,0,19,3,2,0
1,54.05,0,20,3,2,0
1,94.95,0,21,3,2,0
1,110.71,0,22,3,2,0
1,99.55,0,23,3,2,0
1,100.64,0,0,3,3,0
